Job Title,Company,Location,Salary,Skills,Posted Date
Associate Architect,Masaa Design,Mumbai                                                                    (Hybrid),"₹ 6,00,000 - 10,00,000","AutoCAD, Google SketchUp",Not Available
Team Lead - Accounts & Finance,Charismight,"Navi Mumbai, Vashi, Belapur, Panvel, Kharghar","₹ 2,00,000 - 3,00,000","MS-Office, Tally, Auditing, Effective Communication",2 days ago
Customer Service Associate | Fresher | Noida,TheUnityWave,Noida,"₹ 2,10,000 - 3,20,000","Leadership, Time Management, Client Interaction, Effective Communication",2 days ago
Client Acquisition Specialist,Jobs Territory,Bangalore,"₹ 2,65,000 - 3,30,000","Networking, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Business Development, Sales, Sales Strategy",2 days ago
Junior Social Media Marketing Manager,Reach Networks,Mumbai,"₹ 2,00,000","Social Media Marketing, Search Engine Marketing (SEM), Digital Marketing, Facebook Marketing, Creative Writing, English Proficiency (Written), Instagram Marketing",Today
Telecaller,KEDAR HR SOLUTIONS,"Navi Mumbai, Mumbai","₹ 2,00,000","English Proficiency (Spoken), English Proficiency (Written), Effective Communication",1 day ago
Corporate Sales Associate,Jobs Territory,Bangalore,"₹ 2,65,000 - 3,50,000","Email Marketing, MS-Excel, B2B Sales, LinkedIn Marketing, English Proficiency (Spoken), English Proficiency (Written), Sales",2 days ago
Architect,Studio VSA,Nashik,"₹ 2,20,000 - 3,00,000","AutoCAD, Adobe Photoshop, Autodesk Revit, Google SketchUp, Autodesk 3ds Max",1 day ago
Administration Executive,Masaa Design,Mumbai                                                                    (Hybrid),"₹ 2,05,000 - 2,40,000",MS-Excel,2 days ago
Retail Trainee,UpGrad Rekrut,"Ambikapur, Bhilai, Bilaspur, Raigarh, Durg, Dongargarh, Jagdalpur, Dhamtari, Bhatapara, Raipur, Champa, Korba, Naya Raipur, Rajnandgaon, Jagdalpur(Jagadalpur), Balod, Surajpur, Kawardha, Baloda Bazar, Bishrampur, Mahasamund, Dalli Rajhara, Jashpur Nagar, Bemetara, Janjgir-Champa, Baikunthpur, Kumhari","₹ 1,68,000","Mathematics, Sales, Effective Communication, Customer Support",Not Available
Junior Human Resources (HR) Executive,Arete Technologies India Private Limited,"Chandigarh, Panchkula, Punjab, Himachal Pradesh","₹ 2,16,000 - 3,40,000","MS-Office, English Proficiency (Spoken), English Proficiency (Written)",Few hours ago
Junior Social Media Marketing Specialist,Eduminatti,Dehradun,"₹ 2,00,000 - 2,40,000","Social Media Marketing, Facebook Marketing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Instagram Marketing",Few hours ago
US Recruiter,Arete Technologies India Private Limited,Panchkula,"₹ 2,16,000 - 3,20,000","MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",Few hours ago
Business Development Specialist,Codeyoung,Kochi,"₹ 8,36,000 - 13,00,000","Negotiation, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",Few hours ago
Customer Care Associate,MissRaze Staffing And Consulting Services LLP,Jaipur,"₹ 3,50,000 - 4,00,000","Problem Solving, Client Relationship Management (CRM), Client Relationship, English Proficiency (Spoken), English Proficiency (Written), Effective Communication, Customer Support",Few hours ago
Business Development Associate,Codeyoung,Lucknow,"₹ 8,36,000 - 13,00,000","Negotiation, MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",Few hours ago
Associate Business Consultant,Rbsorting Hat Private Limited,Chennai,"₹ 2,00,000 - 3,00,000","Client Interaction, Client Relationship Management (CRM), Business Analysis, Process Management, Business Management, Business Research, Sales Management",Few hours ago
Business Development Executive,RADICAL TECHNOLOGIES,Pune,"₹ 2,10,000 - 3,15,000","Computer skills, Counseling, Sales Support, English Proficiency (Written), Sales Strategy",Few hours ago
Corporate Sales Associate,Kombo,Mumbai,"₹ 3,00,000 - 3,60,000","MS-Office, Negotiation, Tally, Lead Generation, English Proficiency (Spoken), Effective Communication",Few hours ago
Book Operations Executive,Cautilya Capital,Bangalore,"₹ 2,40,000 - 3,00,000","Operations, MS-Excel, Sales, Effective Communication",Few hours ago
Senior Academic Mentor,Hello Mentor Pvt Ltd,Bangalore,"₹ 4,00,000 - 5,00,000","Mentorship, Client Relationship, Effective Communication",Few hours ago
Human Resources (HR) Specialist,Hello Mentor Pvt Ltd,Bangalore,"₹ 3,50,000 - 3,60,000","MS-Word, MS-Excel, HR Operations, Human Resource Information System (HRIS), HR branding, Employment engagement, Payroll",Few hours ago
Client Handling Executive,Hello Mentor Pvt Ltd,Bangalore,"₹ 2,50,000 - 3,00,000","Client Relationship Management (CRM), Mentorship, Kannada Proficiency (Spoken), Effective Communication, Community Management",Few hours ago
Human Resources (HR) Executive,Regime Tax Solutions Private Limited,Mumbai,"₹ 3,00,000 - 3,60,000","MS-Office, MS-Word, MS-Excel, Human Resources, Performance Appraisal, HR Operations, Human Resource Information System (HRIS)",Few hours ago
